City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,ilulissat,69.2167,-51.1,10.42,72,20,8.05,GL,1680381211
113,santa maria,-29.6842,-53.8069,72.7,40,0,5.75,BR,1680381279
114,college,64.8569,-147.8028,25.07,56,40,3.44,US,1680381280
115,ancud,-41.8697,-73.8203,56.26,80,74,6.42,CL,1680381280
116,emba,48.8264,58.1442,47.21,30,82,21.03,KZ,1680381281
117,nantucket,41.2835,-70.0995,53.74,98,100,25.32,US,1680381281
118,san quintin,30.4833,-115.95,62.26,63,0,15.46,MX,1680381282
119,zhigansk,66.7697,123.3711,-12.95,100,93,11.32,RU,1680381282
120,bethel,41.3712,-73.414,72.64,57,0,13.8,US,1680381140
121,indramayu,-6.3264,108.32,78.71,81,100,1.25,ID,1680381284
122,amapa,1.0,-52.0,74.68,96,71,4.61,BR,1680381284
123,talnakh,69.4865,88.3972,16.21,94,100,18.95,RU,1680381191
124,bambanglipuro,-7.95,110.2833,75.88,85,100,4.0,ID,1680381285
125,pontivy,48.0,-3.0,50.58,86,76,17.11,FR,1680381286
126,nuuk,64.1835,-51.7216,27.21,59,75,13.8,GL,1680381286
127,salta,-24.7859,-65.4117,66.79,89,75,9.22,AR,1680381287
128,hasaki,35.7333,140.8333,56.21,56,62,14.41,JP,1680381287
129,constitucion,-35.3333,-72.4167,68.07,62,45,16.71,CL,1680381288
130,ust-ilimsk,58.0006,102.6619,-2.94,100,52,1.59,RU,1680381288
131,arkhipo-osipovka,44.37,38.52,41.97,72,9,7.96,RU,1680381288
132,thompson,55.7435,-97.8558,17.76,35,40,0.0,CA,1680381004
133,caravelas,-17.7125,-39.2481,79.54,77,0,8.72,BR,1680381289
134,leningradskiy,69.3833,178.4167,2.05,93,100,30.71,RU,1680381290
135,paita,-5.0892,-81.1144,83.01,68,90,12.19,PE,1680381290
136,hervey bay,-25.2986,152.8535,70.81,60,100,5.99,AU,1680381290
137,mar del plata,-38.0023,-57.5575,66.22,57,0,11.5,AR,1680381158
138,tambovka,50.0969,128.0489,43.66,55,99,9.24,RU,1680381291
139,antalaha,-14.9003,50.2788,75.65,87,64,4.99,MG,1680381292
140,lata,40.1629,-8.3327,57.92,98,100,3.94,PT,1680381292
141,provideniya,64.3833,-173.3,19.36,90,98,8.86,RU,1680381293
142,kharp,66.8014,65.8081,32.38,99,100,7.02,RU,1680381293
143,ust-ishim,57.6935,71.1665,28.99,72,77,11.45,RU,1680381294
144,alice springs,-23.7,133.8833,60.35,100,100,0.0,AU,1680381059
145,tarko-sale,64.9225,77.785,32.85,98,100,22.93,RU,1680381295
146,wuwei,37.9281,102.6414,33.78,89,100,1.83,CN,1680381295
147,tekkali,18.6167,84.2333,77.85,87,67,5.66,IN,1680381296
148,agadez,19.75,10.25,69.94,6,1,6.2,NE,1680381296
149,thinadhoo,0.5333,72.9333,81.48,76,96,4.81,MV,1680381296
150,buraydah,26.326,43.975,68.45,18,76,8.75,SA,1680381297
151,alofi,-19.0595,-169.9187,80.49,89,75,11.5,NU,1680381285
152,north platte,41.1239,-100.7654,61.12,29,18,15.99,US,1680381298
153,sambava,-14.2667,50.1667,77.14,86,96,6.15,MG,1680381171
154,cidreira,-30.1811,-50.2056,70.95,60,92,13.98,BR,1680381299
155,norman wells,65.282,-126.8329,12.24,67,100,2.3,CA,1680381299
156,ninghai,29.2892,121.4247,52.92,92,0,2.28,CN,1680381299
157,longyearbyen,78.2186,15.6401,10.24,72,75,10.36,SJ,1680381037
158,meulaboh,4.1363,96.1285,76.68,88,100,4.68,ID,1680381300
159,lagoa,39.05,-27.9833,60.4,89,100,23.53,PT,1680381050
160,cherskiy,68.75,161.3,-21.48,100,100,4.36,RU,1680381301
161,kaili,-3.4626,120.2147,67.32,93,100,2.46,ID,1680381302
162,chenzhou,25.8,113.0333,64.9,96,67,4.27,CN,1680381302
163,asau,46.4333,26.4,45.52,92,100,3.02,RO,1680381302
164,barrow,71.2906,-156.7887,1.42,85,100,9.22,US,1680381277
165,kloulklubed,7.0419,134.2556,83.03,73,85,3.87,PW,1680381303
166,luderitz,-26.6481,15.1594,61.48,90,13,5.23,NA,1680381304
167,sinnamary,5.3833,-52.95,79.16,76,89,11.68,GF,1680381304
168,wanaka,-44.7,169.15,55.11,80,7,1.99,NZ,1680381052
169,weligama,5.9667,80.4167,77.0,87,59,2.48,LK,1680381306
170,buin,-33.7333,-70.75,89.92,11,17,7.16,CL,1680381306
171,morgan city,29.6994,-91.2068,84.0,51,100,6.02,US,1680381032
172,manaus,-3.1019,-60.025,88.3,66,40,4.61,BR,1680381025
173,biak,-0.9131,122.8766,76.17,75,100,1.7,ID,1680381307
174,uyuni,-20.4597,-66.825,62.06,29,57,4.23,BO,1680381308
175,vardo,70.3705,31.1107,26.58,93,100,27.63,NO,1680381308
176,mount pleasant,32.7941,-79.8626,79.3,79,0,17.27,US,1680381250
177,narsaq,60.9167,-46.05,34.02,80,75,4.29,GL,1680381309
178,saryg-sep,51.5,95.6,0.14,93,98,1.86,RU,1680381310
179,karratha,-20.7377,116.8463,80.67,74,76,4.59,AU,1680381310
180,lesnoy,57.6198,63.0784,35.06,78,100,11.3,RU,1680381311
181,iquitos,-3.7481,-73.2472,78.84,83,75,3.44,PE,1680381311
182,maturin,9.75,-63.1767,87.64,74,94,11.5,VE,1680381312
183,ixtapa,20.7,-105.2,76.23,73,40,14.97,MX,1680381312
184,port lincoln,-34.7333,135.8667,57.52,66,24,10.2,AU,1680381312
185,havoysund,70.9963,24.6622,28.63,66,100,17.25,NO,1680381313
186,magugu,-4.0167,35.7667,67.86,80,81,2.98,TZ,1680381314
187,sorong,-0.8833,131.25,79.03,83,100,4.16,ID,1680381314
188,upernavik,72.7868,-56.1549,-17.5,97,41,10.36,GL,1680381314
189,teshie,5.5836,-0.1072,82.96,83,40,5.75,GH,1680381315
190,bengkulu,-3.8004,102.2655,73.85,89,98,3.87,ID,1680381273
191,mahanoro,-19.9,48.8,75.76,89,35,3.56,MG,1680381316
192,mayo,38.8876,-76.5119,78.12,61,20,13.8,US,1680381317
193,klaksvik,62.2266,-6.589,43.72,95,99,18.52,FO,1680381318
194,abu samrah,35.3029,37.1841,49.68,85,60,8.77,SY,1680381319
195,yerofey pavlovich,53.9667,121.9667,19.31,65,100,6.13,RU,1680381312
196,sitka,57.0531,-135.33,40.89,70,40,3.44,US,1680381320
197,santa cruz,-17.8,-63.1667,86.05,51,20,11.5,BO,1680381274
198,sao gabriel da cachoeira,-0.1303,-67.0892,78.19,94,100,1.79,BR,1680381321
199,flin flon,54.7682,-101.865,30.04,47,40,10.36,CA,1680381037
200,henties bay,-22.116,14.2845,60.64,91,5,7.54,NA,1680381321
201,san juan,-31.5375,-68.5364,78.89,31,68,9.69,AR,1680381169
202,vila,42.0304,-8.1588,43.68,94,9,5.03,PT,1680381322
203,santiago del estero,-27.7951,-64.2615,66.92,50,100,3.8,AR,1680381069
204,esperance,-33.8667,121.9,64.2,84,100,12.86,AU,1680381323
205,dingtao,35.0683,115.5625,50.58,79,4,9.15,CN,1680381324
206,mahebourg,-20.4081,57.7,79.25,78,20,4.61,MU,1680381324
207,aden,12.7794,45.0367,82.45,79,5,5.73,YE,1680381324
208,porto novo,6.4965,2.6036,84.02,78,100,8.08,BJ,1680381325
209,westport,41.1415,-73.3579,72.63,73,0,19.57,US,1680381325
210,airai,-8.9266,125.4092,59.41,95,100,2.13,TL,1680381326
211,pisco,-13.7,-76.2167,80.65,69,0,18.41,PE,1680381326
212,salinopolis,-0.6136,-47.3561,77.81,85,95,8.55,BR,1680381327
213,abu kamal,34.4506,40.9171,57.51,39,5,3.98,SY,1680381327
214,mwanza,-2.5167,32.9,66.9,85,39,4.92,TZ,1680381327
215,saint-francois,46.4154,3.9054,45.84,85,75,10.36,FR,1680381328
216,ileza,61.0533,43.9002,27.61,99,100,2.48,RU,1680381328
217,kaitangata,-46.2817,169.8464,54.93,95,78,8.61,NZ,1680381329
218,barretos,-20.5572,-48.5678,76.86,74,60,3.09,BR,1680381329
219,tezu,27.9167,96.1667,63.7,97,100,1.23,IN,1680381329
220,sao filipe,14.8961,-24.4956,79.92,54,0,5.01,CV,1680381330
221,husavik,66.0449,-17.3389,33.57,78,2,15.19,IS,1680381212
222,fortuna,40.5982,-124.1573,51.93,92,100,1.99,US,1680381331
223,kulhudhuffushi,6.6221,73.07,83.66,61,71,6.44,MV,1680381331
224,dhola,21.8833,71.7833,78.93,55,0,13.15,IN,1680381332
225,sao felix do xingu,-6.6447,-51.995,78.44,87,73,2.01,BR,1680381332
226,salalah,17.0151,54.0924,82.49,83,75,9.22,OM,1680381333
227,kamenka,51.3223,42.7678,39.96,80,31,4.03,RU,1680381333
228,saquena,-4.6667,-73.5167,80.04,78,82,1.63,PE,1680381334
